branch_no,timings,street,city,state
556240,9:00 AM - 5:00 PM,08 Golf Trail,Birmingham,Alabama
653853,9:00 AM - 5:00 PM,96209 Moland Avenue,Indianapolis,Indiana
160780,9:00 AM - 5:00 PM,45982 Fair Oaks Parkway,Colorado Springs,Colorado
788531,9:00 AM - 5:00 PM,1754 Florence Court,Johnstown,Pennsylvania
187541,9:00 AM - 5:00 PM,38 Bashford Drive,Racine,Wisconsin
161107,9:00 AM - 5:00 PM,601 Morningstar Street,Orlando,Florida
531837,9:00 AM - 5:00 PM,306 Ilene Point,Los Angeles,California
576546,9:00 AM - 5:00 PM,61982 Sundown Terrace,Clearwater,Florida
701300,9:00 AM - 5:00 PM,07 Summit Junction,Saint Louis,Missouri
871772,9:00 AM - 5:00 PM,7804 Summerview Parkway,Washington,District of Columbia
